feature,feature_label_ko,feature_group,source,source_column,asof_rule,selection_status
mkt_vol_ma60,거래량 이동평균,market_microstructure,current_pm_final,mkt_vol_ma60,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,selected
fuel_anth_krwkwh,무연탄 단가,power_energy,current_pm_final,fuel_anth_krwkwh,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_peak_dem_mw,최대 전력수요,power_energy,current_pm_final,pwr_peak_dem_mw,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_coal_gas_gwh,석탄가스 발전량,power_energy,current_pm_final,pwr_coal_gas_gwh,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_hydro_gwh,수력 발전량,power_energy,current_pm_final,pwr_hydro_gwh,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_mkt_tot_gwh,총 전력시장 거래량,power_energy,current_pm_final,pwr_mkt_tot_gwh,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_nuke_gwh,원자력 발전량,power_energy,current_pm_final,pwr_nuke_gwh,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_wind_gwh,풍력 발전량,power_energy,current_pm_final,pwr_wind_gwh,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
pwr_smp_jeju_krwkwh,계통한계가격,power_energy,current_pm_final,pwr_smp_jeju_krwkwh,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_nat_cdd18,전국 냉방도일,weather,current_pm_final,wx_nat_cdd18,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_nat_hdd18,전국 난방도일,weather,current_pm_final,wx_nat_hdd18,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
fuel_heat_lng_krwgcal,LNG 열량단가,power_energy,current_pm_final,fuel_heat_lng_krwgcal,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
wx_stn_min_temp_c,관측소 최저기온,weather,current_pm_final,wx_stn_min_temp_c,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,selected
