order,feature,feature_label_ko,feature_group,canonical_block,source,source_column,transform_definition,selection_stat_reason,selection_domain_reason,literature_basis,expected_sign,asof_rule,leakage_risk,redundancy_reason,coverage_rate,non_null_count,nunique,mean_abs_ic_60d,mean_abs_ic_30d,sign_stability_60d,sign_stability_30d,vif,selection_score,decision_reason,selected_role,validation_requirement,review_note
1,mkt_vol_ma60,거래량 이동평균,market_microstructure,market,current_pm_final,mkt_vol_ma60,60거래일 이동평균으로 중기 추세를 측정한다.,coverage=0.991; 60d mean |IC|=0.375; 30d mean |IC|=0.267; 60d sign stability=0.818; selection=target_overlap_gate_then_score_screen.,"거래량·거래대금은 시장 참여, 유동성, 수급 긴장도를 나타내며 저유동성 K-ETS에서 가격 신뢰도와 변동성 확대를 설명하는 핵심 proxy이다.","내부 선행연구 `docs/reference/탄소배출권 가격 결정 모형 및 예측 모델 개발을 위한 통합 선행연구 분석 보고서.md`의 VWAP·유동성 논의와 `docs/plans/가격_모델.md`의 market_microstructure block. K-ETS 저유동성, VWAP 타겟, 가격 관성·거래활동을 가격발견 요인으로 둔다.",방향성은 양/음 모두 가능하다. 거래활동과 변동성 확대는 가격발견 또는 불확실성 확대를 모두 반영한다.,기존 pm_final 생성 규칙을 승계한다. 시장 일별 피처는 거래일 기준으로 정렬하며 예측 배치에 따라 same-day close 또는 lagged deployment를 구분한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,0.9906191369606004,2112,2111,0.375345964774352,0.2671572346802102,0.8181818181818182,0.9090909090909092,,0.504109684810188,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
2,fuel_anth_krwkwh,무연탄 단가,power_energy,power,current_pm_final,fuel_anth_krwkwh,원천 시계열 값을 disclosure/as-of 기준에 맞춰 거래일 행렬에 정렬한 수치형 피처이다.,coverage=0.998; 60d mean |IC|=0.251; 30d mean |IC|=0.177; 60d sign stability=0.700; selection=target_overlap_gate_then_score_screen.,"연료가격과 발전 연료비는 석탄·가스·유류 발전의 상대 비용을 바꾸며, 발전믹스와 배출권 수요를 통해 KAU 가격에 전달된다.","내부 선행연구 `docs/reference/탄소배출권 가격 결정 및 고도화된 예측 피처 엔지니어링을 위한 종합 분석 프레임워크.md`의 에너지 시장·연료전환·발전믹스 논의와 `docs/plans/가격_모델.md`의 power_energy block. 전력수요, SMP, 발전믹스, 화석연료 비용은 배출권 수요 경로이다.",연료비는 연료전환과 발전마진을 통해 작동하므로 부호는 발전믹스 조건부이다. 내부 IC와 모델 importance로 판단한다.,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,0.99812382739212,2128,124,0.2510874613714282,0.1770018319680854,0.7,0.8,,0.4021609444855189,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
3,pwr_peak_dem_mw,최대 전력수요,power_energy,power,current_pm_final,pwr_peak_dem_mw,원천 시계열 값을 disclosure/as-of 기준에 맞춰 거래일 행렬에 정렬한 수치형 피처이다.,coverage=1.000; 60d mean |IC|=0.242; 30d mean |IC|=0.163; 60d sign stability=0.900; selection=target_overlap_gate_then_score_screen.,전력·에너지 피처는 발전 부문 배출권 수요와 연료전환 비용을 설명하는 구조적 가격결정 경로이다.,"내부 선행연구 `docs/reference/탄소배출권 가격 결정 및 고도화된 예측 피처 엔지니어링을 위한 종합 분석 프레임워크.md`의 에너지 시장·연료전환·발전믹스 논의와 `docs/plans/가격_모델.md`의 power_energy block. 전력수요, SMP, 발전믹스, 화석연료 비용은 배출권 수요 경로이다.",전력수요·거래량 증가는 발전량과 배출권 수요를 높일 수 있어 양의 부호가 우선 가설이다.,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,1.0,2132,1992,0.2420656902359495,0.1634591002780582,0.9,0.7,,0.4140009046992868,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
4,pwr_coal_gas_gwh,석탄가스 발전량,power_energy,power,current_pm_final,pwr_coal_gas_gwh,원천 시계열 값을 disclosure/as-of 기준에 맞춰 거래일 행렬에 정렬한 수치형 피처이다.,coverage=0.998; 60d mean |IC|=0.323; 30d mean |IC|=0.301; 60d sign stability=0.700; selection=target_overlap_gate_then_score_screen.,"연료가격과 발전 연료비는 석탄·가스·유류 발전의 상대 비용을 바꾸며, 발전믹스와 배출권 수요를 통해 KAU 가격에 전달된다.","내부 선행연구 `docs/reference/탄소배출권 가격 결정 및 고도화된 예측 피처 엔지니어링을 위한 종합 분석 프레임워크.md`의 에너지 시장·연료전환·발전믹스 논의와 `docs/plans/가격_모델.md`의 power_energy block. 전력수요, SMP, 발전믹스, 화석연료 비용은 배출권 수요 경로이다.",화석 발전량 증가는 배출권 수요 확대와 연결되어 양의 부호가 우선 가설이다.,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,0.99812382739212,2128,103,0.3232883918757444,0.3006925136707807,0.7,0.6,,0.4727941266885666,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
5,pwr_hydro_gwh,수력 발전량,power_energy,power,current_pm_final,pwr_hydro_gwh,원천 시계열 값을 disclosure/as-of 기준에 맞춰 거래일 행렬에 정렬한 수치형 피처이다.,coverage=0.998; 60d mean |IC|=0.359; 30d mean |IC|=0.241; 60d sign stability=0.800; selection=target_overlap_gate_then_score_screen.,"저탄소·재생·비화석 발전 비중은 화석 발전 필요량을 바꾸며, 탄소배출권 수요의 하방 또는 대체 경로를 설명한다.","내부 선행연구 `docs/reference/탄소배출권 가격 결정 및 고도화된 예측 피처 엔지니어링을 위한 종합 분석 프레임워크.md`의 에너지 시장·연료전환·발전믹스 논의와 `docs/plans/가격_모델.md`의 power_energy block. 전력수요, SMP, 발전믹스, 화석연료 비용은 배출권 수요 경로이다.",저탄소 발전 확대는 화석 발전과 배출권 수요를 낮출 수 있어 음의 부호가 우선 가설이나 백업 수요에 따라 달라질 수 있다.,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,0.99812382739212,2128,124,0.3592015560898469,0.241348021771132,0.8,0.9,,0.4877102440314108,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
6,pwr_mkt_tot_gwh,총 전력시장 거래량,power_energy,power,current_pm_final,pwr_mkt_tot_gwh,원천 시계열 값을 disclosure/as-of 기준에 맞춰 거래일 행렬에 정렬한 수치형 피처이다.,coverage=0.998; 60d mean |IC|=0.253; 30d mean |IC|=0.246; 60d sign stability=0.500; selection=target_overlap_gate_then_score_screen.,전력수요와 전력시장 규모는 발전량과 배출권 필요량의 직접 proxy로서 중기 배출권 수요 압력을 설명한다.,"내부 선행연구 `docs/reference/탄소배출권 가격 결정 및 고도화된 예측 피처 엔지니어링을 위한 종합 분석 프레임워크.md`의 에너지 시장·연료전환·발전믹스 논의와 `docs/plans/가격_모델.md`의 power_energy block. 전력수요, SMP, 발전믹스, 화석연료 비용은 배출권 수요 경로이다.",전력수요·거래량 증가는 발전량과 배출권 수요를 높일 수 있어 양의 부호가 우선 가설이다.,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,0.99812382739212,2128,124,0.2530482309820445,0.2457606774254834,0.5,0.5,,0.4004290791357073,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
7,pwr_nuke_gwh,원자력 발전량,power_energy,power,current_pm_final,pwr_nuke_gwh,원천 시계열 값을 disclosure/as-of 기준에 맞춰 거래일 행렬에 정렬한 수치형 피처이다.,coverage=0.998; 60d mean |IC|=0.298; 30d mean |IC|=0.313; 60d sign stability=0.700; selection=target_overlap_gate_then_score_screen.,"저탄소·재생·비화석 발전 비중은 화석 발전 필요량을 바꾸며, 탄소배출권 수요의 하방 또는 대체 경로를 설명한다.","내부 선행연구 `docs/reference/탄소배출권 가격 결정 및 고도화된 예측 피처 엔지니어링을 위한 종합 분석 프레임워크.md`의 에너지 시장·연료전환·발전믹스 논의와 `docs/plans/가격_모델.md`의 power_energy block. 전력수요, SMP, 발전믹스, 화석연료 비용은 배출권 수요 경로이다.",저탄소 발전 확대는 화석 발전과 배출권 수요를 낮출 수 있어 음의 부호가 우선 가설이나 백업 수요에 따라 달라질 수 있다.,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,0.99812382739212,2128,124,0.2984454291476927,0.3127486119318141,0.7,0.9,,0.4621445217533965,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
8,pwr_wind_gwh,풍력 발전량,power_energy,power,current_pm_final,pwr_wind_gwh,원천 시계열 값을 disclosure/as-of 기준에 맞춰 거래일 행렬에 정렬한 수치형 피처이다.,coverage=0.998; 60d mean |IC|=0.317; 30d mean |IC|=0.238; 60d sign stability=0.800; selection=target_overlap_gate_then_score_screen.,"저탄소·재생·비화석 발전 비중은 화석 발전 필요량을 바꾸며, 탄소배출권 수요의 하방 또는 대체 경로를 설명한다.","내부 선행연구 `docs/reference/탄소배출권 가격 결정 및 고도화된 예측 피처 엔지니어링을 위한 종합 분석 프레임워크.md`의 에너지 시장·연료전환·발전믹스 논의와 `docs/plans/가격_모델.md`의 power_energy block. 전력수요, SMP, 발전믹스, 화석연료 비용은 배출권 수요 경로이다.",저탄소 발전 확대는 화석 발전과 배출권 수요를 낮출 수 있어 음의 부호가 우선 가설이나 백업 수요에 따라 달라질 수 있다.,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,0.99812382739212,2128,124,0.3165631422162375,0.2382445686165776,0.8,0.8,,0.4634832531122871,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
9,pwr_smp_jeju_krwkwh,계통한계가격,power_energy,power,current_pm_final,pwr_smp_jeju_krwkwh,원천 시계열 값을 disclosure/as-of 기준에 맞춰 거래일 행렬에 정렬한 수치형 피처이다.,coverage=0.998; 60d mean |IC|=0.302; 30d mean |IC|=0.249; 60d sign stability=0.700; selection=target_overlap_gate_then_score_screen.,SMP는 전력 도매가격 신호로 발전 수익성과 연료전환 여건을 반영하여 배출권 수요 경로와 연결된다.,"내부 선행연구 `docs/reference/탄소배출권 가격 결정 및 고도화된 예측 피처 엔지니어링을 위한 종합 분석 프레임워크.md`의 에너지 시장·연료전환·발전믹스 논의와 `docs/plans/가격_모델.md`의 power_energy block. 전력수요, SMP, 발전믹스, 화석연료 비용은 배출권 수요 경로이다.",전력부문 배출권 수요 경로에 따라 양의 부호가 기본 가설이나 발전원 구성에 따라 달라질 수 있다.,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,0.99812382739212,2128,123,0.3018763677161057,0.2485555711122641,0.7,0.7,,0.4479832777611361,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
10,wx_nat_cdd18,전국 냉방도일,weather,weather,current_pm_final,wx_nat_cdd18,원천 시계열 값을 disclosure/as-of 기준에 맞춰 거래일 행렬에 정렬한 수치형 피처이다.,coverage=1.000; 60d mean |IC|=0.358; 30d mean |IC|=0.242; 60d sign stability=0.800; selection=target_overlap_gate_then_score_screen.,기온과 냉난방도일은 냉방·난방 전력수요를 통해 발전량과 배출권 수요를 변화시키는 기상 수요 proxy이다.,내부 선행연구 `docs/reference/탄소배출권 가격 결정 및 고도화된 예측 피처 엔지니어링을 위한 종합 분석 프레임워크.md`의 HDD/CDD·기상 수요 proxy 논의와 `docs/plans/가격_모델.md`의 weather block. 기온·강수·풍속·일사량은 전력수요와 재생/수력 공급을 통해 배출권 수요를 바꾼다.,냉난방도일 증가는 전력수요를 높일 수 있어 양의 부호가 우선 가설이다.,원천별 disclosure/as-of key를 사용해 trd_dd 이전에 관측 가능한 값만 결합한다.,low_or_reviewed: target VWAP level overlap gate 통과. source별 as-of는 기존 baseline 규칙을 승계한다.,target-overlap 제거 후 기존 selection continuity와 score/correlation screen을 함께 적용했다.,1.0,2132,696,0.358229489656679,0.2419686165909008,0.8,0.7,,0.4875183734588987,target_overlap_gate_then_score_screen,main_candidate,"purged walk-forward, IC/correlation/R² guard/direction metrics, feature importance 재검증",VWAP target-overlap 계열은 selection에서 제외하고 archive 산출물로 보존한다.
